CIF_id,Compound,A,B,lowest_wyckoff_elements,A_lowest_wyckoff_label,B_lowest_wyckoff_label,identical_lowest_wyckoff_count,A_sites_total,B_sites_total,A_multiplicity_total,B_multiplicity_total
250101,TmAl3,Tm,Al,Tm,1,3,1,1,1,1,3
250328,LaPd3,La,Pd,La,1,3,1,1,1,1,3
250329,CePd3,Ce,Pd,Ce,1,3,1,1,1,1,3
250330,PrPd3,Pr,Pd,Pr,1,3,1,1,1,1,3
250331,NdPd3,Nd,Pd,Nd,1,3,1,1,1,1,3
250332,SmPd3,Sm,Pd,Sm,1,3,1,1,1,1,3
250333,EuPd3,Eu,Pd,Eu,1,3,1,1,1,1,3
250334,GdPd3,Gd,Pd,Gd,1,3,1,1,1,1,3
250335,TbPd3,Tb,Pd,Tb,1,3,1,1,1,1,3
250336,DyPd3,Dy,Pd,Dy,1,3,1,1,1,1,3
250337,HoPd3,Ho,Pd,Ho,1,3,1,1,1,1,3
250338,ErPd3,Er,Pd,Er,1,3,1,1,1,1,3
250339,YbPd3,Yb,Pd,Yb,1,3,1,1,1,1,3
250340,LuPd3,Lu,Pd,Lu,1,3,1,1,1,1,3
250363,LaSn3,La,Sn,La,1,3,1,1,1,1,3
250364,CeSn3,Ce,Sn,Ce,1,3,1,1,1,1,3
250365,PrSn3,Pr,Sn,Pr,1,3,1,1,1,1,3
250366,NdSn3,Nd,Sn,Nd,1,3,1,1,1,1,3
250367,SmSn3,Sm,Sn,Sm,1,3,1,1,1,1,3
250368,EuSn3,Eu,Sn,Eu,1,3,1,1,1,1,3
250369,GdSn3,Gd,Sn,Gd,1,3,1,1,1,1,3
250370,YbSn3,Yb,Sn,Yb,1,3,1,1,1,1,3
250372,YIn3,Y,In,Y,1,3,1,1,1,1,3
250373,LaIn3,La,In,La,1,3,1,1,1,1,3
250374,CeIn3,Ce,In,Ce,1,3,1,1,1,1,3
250375,PrIn3,Pr,In,Pr,1,3,1,1,1,1,3
250376,NdIn3,Nd,In,Nd,1,3,1,1,1,1,3
250377,SmIn3,Sm,In,Sm,1,3,1,1,1,1,3
250378,GdIn3,Gd,In,Gd,1,3,1,1,1,1,3
250379,TbIn3,Tb,In,Tb,1,3,1,1,1,1,3
250380,DyIn3,Dy,In,Dy,1,3,1,1,1,1,3
250381,HoIn3,Ho,In,Ho,1,3,1,1,1,1,3
250382,ErIn3,Er,In,Er,1,3,1,1,1,1,3
250383,TmIn3,Tm,In,Tm,1,3,1,1,1,1,3
250384,YbIn3,Yb,In,Yb,1,3,1,1,1,1,3
250385,LuIn3,Lu,In,Lu,1,3,1,1,1,1,3
250394,YCo3,Y,Co,"Y, Co",3,3,2,2,3,9,27
250404,NdAl3,Nd,Al,Nd,2,6,1,1,1,2,6
250410,GdAl3,Gd,Al,Gd,2,6,1,1,1,2,6
250411,Nd3Al,Nd,Al,Al,6,2,1,1,1,6,2
250460,GdFe3,Gd,Fe,"Gd, Fe",3,3,2,2,3,9,27
250461,GdCo3,Gd,Co,"Gd, Co",3,3,2,2,3,9,27
250462,GdNi3,Gd,Ni,"Gd, Ni",3,3,2,2,3,9,27
250463,YFe3,Y,Fe,"Y, Fe",3,3,2,2,3,9,27
250464,YCo3,Y,Co,"Y, Co",3,3,2,2,3,9,27
250465,YNi3,Y,Ni,"Y, Ni",3,3,2,2,3,9,27
250468,SmIn3,Sm,In,Sm,1,3,1,1,1,1,3
250469,YbIn3,Yb,In,Yb,1,3,1,1,1,1,3
250502,YAl3,Y,Al,Y,3,9,1,2,2,9,27
250503,GdAl3,Gd,Al,Gd,2,6,1,1,1,2,6
250504,NdAl3,Nd,Al,Nd,2,6,1,1,1,2,6
250505,PrAl3,Pr,Al,Pr,2,6,1,1,1,2,6
250506,CeAl3,Ce,Al,Ce,2,6,1,1,1,2,6
250507,LaAl3,La,Al,La,2,6,1,1,1,2,6
250508,ErAl3,Er,Al,Er,1,3,1,1,1,1,3
250554,Y0.25Ce0.75,Y,Ce,"Y, Ce",2,2,2,2,2,4,4
250646,TmPt3,Tm,Pt,Tm,1,3,1,1,1,1,3
250647,YbPt3,Yb,Pt,Yb,1,3,1,1,1,1,3
250648,LuPt3,Lu,Pt,Lu,1,3,1,1,1,1,3
250649,ScPt3,Sc,Pt,Sc,1,3,1,1,1,1,3
250650,CePd3,Ce,Pd,Ce,1,3,1,1,1,1,3
250651,GdPd3,Gd,Pd,Gd,1,3,1,1,1,1,3
250652,Pd3Sn,Pd,Sn,Sn,3,1,1,1,1,3,1
250653,YbPd3,Yb,Pd,Yb,1,3,1,1,1,1,3
250654,YbIn3,Yb,In,Yb,1,3,1,1,1,1,3
250668,La3Co,La,Co,"La, Co",4,4,2,2,1,12,4
250693,CePd3,Ce,Pd,Ce,1,3,1,1,1,1,3
250717,TbAl3,Tb,Al,Tb,3,9,1,2,2,9,27
250718,GdAl3,Gd,Al,Gd,2,6,1,1,1,2,6
250763,Sm3Co,Sm,Co,"Sm, Co",4,4,2,2,1,12,4
250765,SmCo3,Sm,Co,"Sm, Co",3,3,2,2,3,9,27
250804,La0.75Pt2.25,La,Pt,"La, Pt",8,8,2,1,2,8,24
250805,Pr0.75Pt2.25,Pr,Pt,"Pr, Pt",8,8,2,1,2,8,24
250806,Nd0.75Pt2.25,Nd,Pt,"Nd, Pt",8,8,2,1,2,8,24
250807,Eu0.75Pt2.25,Eu,Pt,"Eu, Pt",8,8,2,1,2,8,24
250808,Gd0.75Pt2.25,Gd,Pt,"Gd, Pt",8,8,2,1,2,8,24
250809,DyPt3,Dy,Pt,Dy,1,3,1,1,1,1,3
250810,TbPt3,Tb,Pt,Tb,1,3,1,1,1,1,3
250811,Ce0.75Pt2.25,Ce,Pt,"Ce, Pt",8,8,2,1,2,8,24
250891,LaPd3,La,Pd,La,1,3,1,1,1,1,3
250892,CePd3,Ce,Pd,Ce,1,3,1,1,1,1,3
250893,PrPd3,Pr,Pd,Pr,1,3,1,1,1,1,3
250894,YPd3,Y,Pd,Y,1,3,1,1,1,1,3
250907,Ce0.25Tb0.75,Ce,Tb,"Ce, Tb",2,2,2,1,1,2,2
250910,Pr0.25Tb0.75,Pr,Tb,"Pr, Tb",2,2,2,1,1,2,2
250920,HoFe3,Ho,Fe,"Ho, Fe",3,3,2,2,3,9,27
250931,YbPd3,Yb,Pd,Yb,1,3,1,1,1,1,3
250934,Pd3Sn,Pd,Sn,Sn,3,1,1,1,1,3,1
250959,Pd0.75In0.25,Pd,In,"Pd, In",2,2,2,1,1,2,2
250962,Pt3Sn,Pt,Sn,Sn,3,1,1,1,1,3,1
250963,Pt3In,Pt,In,In,3,1,1,1,1,3,1
250966,Pd3.25In9.75,Pd,In,"Pd, In",8,8,2,2,3,16,44
250977,ErNi3,Er,Ni,"Er, Ni",3,3,2,2,3,9,27
