Filename,CIF,Compound,Number of atoms,Execution time (s),Total_time (s)
250101.cif,250101,TmAl3,113,1.644,1.644
250328.cif,250328,LaPd3,113,1.444,3.088
250329.cif,250329,CePd3,113,1.432,4.52
250330.cif,250330,PrPd3,113,1.501,6.021
250331.cif,250331,NdPd3,113,1.465,7.487
250332.cif,250332,SmPd3,113,1.448,8.935
250333.cif,250333,EuPd3,113,1.404,10.339
250334.cif,250334,GdPd3,113,1.576,11.915
250335.cif,250335,TbPd3,113,1.456,13.371
250336.cif,250336,DyPd3,113,1.415,14.786
250337.cif,250337,HoPd3,113,1.431,16.217
250338.cif,250338,ErPd3,113,1.53,17.747
250339.cif,250339,YbPd3,113,1.394,19.14
250340.cif,250340,LuPd3,113,1.4,20.54
250363.cif,250363,LaSn3,113,1.424,21.965
250364.cif,250364,CeSn3,113,1.497,23.461
250365.cif,250365,PrSn3,113,1.504,24.965
250366.cif,250366,NdSn3,113,1.425,26.391
250367.cif,250367,SmSn3,113,1.378,27.768
250368.cif,250368,EuSn3,113,1.494,29.262
250369.cif,250369,GdSn3,113,1.439,30.701
250370.cif,250370,YbSn3,113,1.473,32.174
250372.cif,250372,YIn3,113,1.467,33.641
250373.cif,250373,LaIn3,113,1.514,35.155
250374.cif,250374,CeIn3,113,1.466,36.621
250375.cif,250375,PrIn3,113,1.394,38.015
250376.cif,250376,NdIn3,113,1.42,39.436
250377.cif,250377,SmIn3,113,1.534,40.969
250378.cif,250378,GdIn3,113,1.384,42.353
250379.cif,250379,TbIn3,113,1.42,43.774
250380.cif,250380,DyIn3,113,1.416,45.19
250381.cif,250381,HoIn3,113,1.492,46.682
250382.cif,250382,ErIn3,113,1.46,48.141
250383.cif,250383,TmIn3,113,1.413,49.554
250384.cif,250384,YbIn3,113,1.41,50.965
250385.cif,250385,LuIn3,113,1.513,52.478
250394.cif,250394,YCo3,699,68.062,120.541
250404.cif,250404,NdAl3,313,11.615,132.156
250410.cif,250410,GdAl3,313,11.589,143.745
250411.cif,250411,Nd3Al,313,11.699,155.444
250460.cif,250460,GdFe3,699,65.369,220.812
250461.cif,250461,GdCo3,699,64.283,285.095
250462.cif,250462,GdNi3,699,65.77,350.866
250463.cif,250463,YFe3,699,66.088,416.954
250464.cif,250464,YCo3,699,65.552,482.506
250465.cif,250465,YNi3,699,65.147,547.652
250468.cif,250468,SmIn3,113,1.673,549.325
250469.cif,250469,YbIn3,113,1.428,550.753
250502.cif,250502,YAl3,747,72.316,623.069
250503.cif,250503,GdAl3,313,12.065,635.134
250504.cif,250504,NdAl3,313,11.522,646.656
250505.cif,250505,PrAl3,313,11.546,658.202
250506.cif,250506,CeAl3,313,12.4,670.602
250507.cif,250507,LaAl3,313,11.811,682.413
250508.cif,250508,ErAl3,113,1.544,683.957
250554.cif,250554,Y0.25Ce0.75,196,5.25,689.207
250646.cif,250646,TmPt3,113,1.628,690.835
250647.cif,250647,YbPt3,113,1.41,692.245
250648.cif,250648,LuPt3,113,1.433,693.678
250649.cif,250649,ScPt3,113,1.5,695.178
250650.cif,250650,CePd3,113,1.424,696.602
250651.cif,250651,GdPd3,113,1.417,698.019
250652.cif,250652,Pd3Sn,113,1.436,699.454
250653.cif,250653,YbPd3,113,1.543,700.997
250654.cif,250654,YbIn3,113,1.435,702.432
250668.cif,250668,La3Co,272,9.675,712.107
250693.cif,250693,CePd3,113,1.498,713.605
250717.cif,250717,TbAl3,747,72.392,785.997
250718.cif,250718,GdAl3,313,11.886,797.884
250763.cif,250763,Sm3Co,272,9.893,807.776
250765.cif,250765,SmCo3,699,65.369,873.145
250804.cif,250804,La0.75Pt2.25,974,125.494,998.639
250805.cif,250805,Pr0.75Pt2.25,974,125.809,1124.448
250806.cif,250806,Nd0.75Pt2.25,974,127.436,1251.885
250807.cif,250807,Eu0.75Pt2.25,974,120.911,1372.796
250808.cif,250808,Gd0.75Pt2.25,974,132.146,1504.941
250809.cif,250809,DyPt3,113,1.966,1506.907
250810.cif,250810,TbPt3,113,1.548,1508.454
250811.cif,250811,Ce0.75Pt2.25,974,127.261,1635.715
250891.cif,250891,LaPd3,113,1.821,1637.536
250892.cif,250892,CePd3,113,1.419,1638.955
250893.cif,250893,PrPd3,113,1.466,1640.421
250894.cif,250894,YPd3,113,1.462,1641.883
250907.cif,250907,Ce0.25Tb0.75,136,2.555,1644.438
250910.cif,250910,Pr0.25Tb0.75,136,2.364,1646.802
250920.cif,250920,HoFe3,699,66.317,1713.119
250931.cif,250931,YbPd3,113,1.703,1714.822
250934.cif,250934,Pd3Sn,113,1.506,1716.328
250959.cif,250959,Pd0.75In0.25,60,0.563,1716.891
250962.cif,250962,Pt3Sn,113,1.433,1718.324
250963.cif,250963,Pt3In,113,1.522,1719.847
250966.cif,250966,Pd3.25In9.75,900,114.293,1834.139
250977.cif,250977,ErNi3,699,65.044,1899.183
